timestamp_us,event,value_us
2340026818,udp_write_slice_us,34
2340026822,udp_inter_packet_us,122
2340026906,udp_decode_us,83
2340026944,udp_write_slice_us,37
2340026948,udp_inter_packet_us,126
2340027035,udp_decode_us,87
2340027073,udp_write_slice_us,37
2340027077,udp_inter_packet_us,129
2340027161,udp_decode_us,84
2340027212,udp_write_slice_us,51
2340027516,udp_inter_packet_us,439
2340027611,udp_decode_us,95
2340027656,udp_write_slice_us,45
2340027673,udp_inter_packet_us,157
2340027767,udp_decode_us,94
2340027804,udp_write_slice_us,36
2340027809,udp_inter_packet_us,136
2340027913,udp_decode_us,104
2340027952,udp_write_slice_us,37
2340027956,udp_inter_packet_us,147
2340028053,udp_decode_us,97
2340028090,udp_write_slice_us,37
2340028095,udp_inter_packet_us,139
2340028179,udp_decode_us,84
2340028229,udp_write_slice_us,50
2340028233,udp_inter_packet_us,138
2340028328,udp_decode_us,95
2340028370,udp_write_slice_us,42
2340028375,udp_inter_packet_us,142
2340028485,udp_decode_us,110
2340028526,udp_write_slice_us,41
2340028586,udp_inter_packet_us,210
2340028714,udp_decode_us,128
2340028769,udp_write_slice_us,55
2340028775,udp_inter_packet_us,189
2340028921,udp_decode_us,147
2340029068,udp_write_slice_us,146
2340029074,udp_inter_packet_us,300
2340029158,udp_decode_us,83
2340029318,udp_write_slice_us,160
2340029323,udp_inter_packet_us,249
2340029454,udp_decode_us,130
2340029495,udp_write_slice_us,41
2340029500,udp_inter_packet_us,177
2340029608,udp_decode_us,107
2340029749,udp_write_slice_us,141
2340029755,udp_inter_packet_us,254
2340029932,udp_decode_us,178
2340029996,udp_write_slice_us,64
2340030061,udp_inter_packet_us,307
2340030149,udp_decode_us,88
2340030190,udp_write_slice_us,41
2340030196,udp_inter_packet_us,134
2340030286,udp_decode_us,91
2340030338,udp_write_slice_us,51
2340030342,udp_inter_packet_us,147
2340030426,udp_decode_us,84
2340030461,udp_write_slice_us,35
2340030466,udp_inter_packet_us,124
2340030578,udp_decode_us,112
2340030617,udp_write_slice_us,39
2340030874,udp_inter_packet_us,408
2340030958,udp_decode_us,84
2340030995,udp_write_slice_us,36
2340031183,udp_inter_packet_us,309
2340031278,udp_decode_us,95
2340031314,udp_write_slice_us,36
2340031320,udp_inter_packet_us,136
2340031415,udp_decode_us,95
2340031464,udp_write_slice_us,49
2340031469,udp_inter_packet_us,150
2340031580,udp_decode_us,111
2340031614,udp_write_slice_us,34
2340032005,udp_inter_packet_us,536
2340032108,udp_decode_us,102
2340032145,udp_write_slice_us,36
2340032261,udp_inter_packet_us,256
2340032345,udp_decode_us,84
2340032391,udp_write_slice_us,45
2340032397,udp_inter_packet_us,135
2340032491,udp_decode_us,95
2340032526,udp_write_slice_us,34
2340032532,udp_inter_packet_us,136
2340032625,udp_decode_us,92
2340032674,udp_write_slice_us,49
2340032944,udp_inter_packet_us,412
2340033028,udp_decode_us,84
2340033063,udp_write_slice_us,35
2340033225,udp_inter_packet_us,281
2340033318,udp_decode_us,93
2340033358,udp_write_slice_us,38
2340033363,udp_inter_packet_us,138
2340033453,udp_decode_us,90
2340033515,udp_write_slice_us,62
2340033520,udp_inter_packet_us,157
2340033609,udp_decode_us,89
2340033641,udp_write_slice_us,32
2340033699,udp_inter_packet_us,179
2340033786,udp_decode_us,87
2340033836,udp_write_slice_us,48
2340033841,udp_inter_packet_us,141
2340033924,udp_decode_us,84
2340033974,udp_write_slice_us,50
2340034265,udp_inter_packet_us,425
2340034369,udp_decode_us,103
2340034410,udp_write_slice_us,41
2340034460,udp_inter_packet_us,195
2340034555,udp_decode_us,94
2340034599,udp_write_slice_us,43
2340034604,udp_inter_packet_us,143
2340034696,udp_decode_us,93
2340034737,udp_write_slice_us,39
2340034741,udp_inter_packet_us,138
2340034825,udp_decode_us,84
2340034868,udp_write_slice_us,42
2340035192,udp_inter_packet_us,451
2340035287,udp_decode_us,94
2340035343,udp_write_slice_us,56
2340035348,udp_inter_packet_us,155
2340035432,udp_decode_us,84
2340035470,udp_write_slice_us,38
2340036205,udp_inter_packet_us,857
2340036289,udp_decode_us,85
2340036323,udp_write_slice_us,34
2340036328,udp_inter_packet_us,124
2340036421,udp_decode_us,93
2340036464,udp_write_slice_us,43
2340036469,udp_inter_packet_us,141
2340036553,udp_decode_us,84
2340036598,udp_write_slice_us,45
2340036603,udp_inter_packet_us,134
2340036687,udp_decode_us,84
2340036742,udp_write_slice_us,55
2340037139,udp_inter_packet_us,536
2340037232,udp_decode_us,93
2340037276,udp_write_slice_us,43
2340037281,udp_inter_packet_us,142
2340037365,udp_decode_us,84
2340037407,udp_write_slice_us,40
2340037411,udp_inter_packet_us,130
2340037499,udp_decode_us,88
